order_id,timestamp,region,category,sales,quantity,rating,profit
1,2026-02-21 18:35:19.600489,East,Sports,1423,3,4.0,234.52980806503345
2,2026-02-21 18:34:19.600508,West,Sports,3552,8,3.4,558.3456074077143
3,2026-02-21 18:33:19.600512,North,Clothing,515,4,1.3,56.55932365296574
4,2026-02-21 18:32:19.600515,East,Electronics,4096,4,2.7,821.8235888163117
5,2026-02-21 18:31:19.600518,East,Electronics,2903,2,4.4,554.9560664688277
6,2026-02-21 18:30:19.600521,West,Electronics,4951,6,2.3,863.3707188780106
7,2026-02-21 18:29:19.600524,North,Electronics,4510,6,2.9,553.2273574532669
8,2026-02-21 18:28:19.600527,North,Clothing,3146,1,3.0,459.79617953221566
9,2026-02-21 18:27:19.600530,East,Clothing,1601,8,3.5,225.3169321868036
10,2026-02-21 18:26:19.600532,South,Clothing,3475,3,4.5,1003.5580395550702
11,2026-02-21 18:25:19.600535,East,Clothing,1590,1,1.7,466.33438727065845
12,2026-02-21 18:24:19.600537,East,Electronics,3406,1,3.0,342.9307972299579
13,2026-02-21 18:23:19.600540,East,Sports,2246,1,2.7,301.210117088094
14,2026-02-21 18:22:19.600542,East,Home,4809,5,2.2,1335.7293736683816
15,2026-02-21 18:21:19.600545,West,Clothing,2220,5,4.7,239.02299759132396
16,2026-02-21 18:20:19.600556,North,Sports,948,1,1.0,273.67840678711434
17,2026-02-21 18:19:19.600559,West,Clothing,3512,5,1.5,618.1574132373576
18,2026-02-21 18:18:19.600562,West,Electronics,4004,7,3.9,831.7795586663326
19,2026-02-21 18:17:19.600564,West,Electronics,2068,5,2.1,522.715795312173
20,2026-02-21 18:16:19.600567,East,Sports,3686,9,3.9,548.4068330772081
21,2026-02-21 18:15:19.600570,South,Sports,3991,4,4.3,479.45799305029595
22,2026-02-21 18:14:19.600573,North,Sports,3046,9,2.0,798.0204433011871
23,2026-02-21 18:13:19.600576,South,Electronics,4975,8,1.8,1477.2032807715084
24,2026-02-21 18:12:19.600578,West,Electronics,1547,1,1.6,358.52591905798255
25,2026-02-21 18:11:19.600580,West,Home,1564,4,1.8,414.53016430924026
26,2026-02-21 18:10:19.600583,South,Sports,4321,7,2.1,1245.5821696261985
27,2026-02-21 18:09:19.600586,South,Home,1067,1,4.5,155.47892536632287
28,2026-02-21 18:08:19.600588,South,Clothing,1936,8,4.1,329.2771854302925
29,2026-02-21 18:07:19.600591,West,Home,3205,2,1.0,460.8957131507555
30,2026-02-21 18:06:19.600593,West,Clothing,2983,8,4.5,335.1601983628832
31,2026-02-21 18:05:19.600596,North,Clothing,4279,4,1.3,1054.5816273426706
32,2026-02-21 18:04:19.600598,North,Home,3294,8,3.6,425.3592292713398
33,2026-02-21 18:03:19.600601,West,Sports,2360,1,1.6,279.75883533918693
34,2026-02-21 18:02:19.600604,South,Clothing,3836,5,1.2,657.9774727429117
35,2026-02-21 18:01:19.600606,South,Sports,2390,9,4.0,267.945822591188
36,2026-02-21 18:00:19.600608,North,Electronics,4791,7,2.9,651.152779643148
37,2026-02-21 17:59:19.600611,West,Clothing,1597,3,3.4,182.0392216882113
38,2026-02-21 17:58:19.600613,North,Electronics,2138,4,2.7,588.9239901910835
39,2026-02-21 17:57:19.600616,North,Home,2158,7,1.3,552.3333627031942
40,2026-02-21 17:56:19.600618,East,Sports,1625,6,4.0,441.84231250311996
41,2026-02-21 17:55:19.600621,East,Home,763,4,4.3,208.8073221156483
42,2026-02-21 17:54:19.600624,East,Clothing,3492,3,1.2,1008.8451245279075
43,2026-02-21 17:53:19.600626,South,Electronics,660,2,2.5,90.63840265694927
44,2026-02-21 17:52:19.600629,West,Clothing,1756,9,3.2,491.6831832975598
45,2026-02-21 17:51:19.600631,West,Home,810,3,3.4,166.05630215192372
46,2026-02-21 17:50:19.600634,West,Sports,726,7,3.3,96.73674483218433
47,2026-02-21 17:49:19.600636,West,Sports,772,1,3.8,178.4514093743594
48,2026-02-21 17:48:19.600639,East,Clothing,4912,8,4.9,812.445313013394
49,2026-02-21 17:47:19.600641,South,Clothing,2422,1,2.6,264.7098148617363
50,2026-02-21 17:46:19.600644,South,Electronics,3657,2,3.2,423.2231365601423
51,2026-02-21 17:45:19.600646,East,Home,2838,1,3.8,524.3011924887496
52,2026-02-21 17:44:19.600649,South,Clothing,2101,4,3.4,557.3883868838908
53,2026-02-21 17:43:19.600651,East,Electronics,4218,2,2.5,684.1830259654665
54,2026-02-21 17:42:19.600654,West,Clothing,2922,1,3.5,739.923954478169
55,2026-02-21 17:41:19.600657,East,Sports,2425,1,3.6,269.5358219815302
56,2026-02-21 17:40:19.600659,West,Electronics,1066,2,3.3,190.54376927391195
57,2026-02-21 17:39:19.600661,West,Electronics,3415,6,1.8,428.54169314604036
58,2026-02-21 17:38:19.600664,North,Clothing,751,2,3.0,204.80495996947386
59,2026-02-21 17:37:19.600667,East,Home,2854,2,4.5,837.8991284637814
60,2026-02-21 17:36:19.600669,North,Sports,4001,8,4.5,660.6576923202169
61,2026-02-21 17:35:19.600672,East,Home,2811,5,4.0,837.0385878925323
62,2026-02-21 17:34:19.600674,East,Electronics,2615,8,3.8,654.9568540010303
63,2026-02-21 17:33:19.600677,North,Home,2102,8,1.6,210.71873131917297
64,2026-02-21 17:32:19.600679,North,Electronics,3770,2,2.8,742.8949189415844
65,2026-02-21 17:31:19.600682,East,Home,1013,7,1.4,270.28878906783405
66,2026-02-21 17:30:19.600686,South,Clothing,941,9,4.3,194.57534674532926
67,2026-02-21 17:29:19.600689,West,Home,500,8,2.2,104.99607754446798
68,2026-02-21 17:28:19.600691,North,Electronics,1402,9,4.1,265.734974281662
69,2026-02-21 17:27:19.600694,West,Sports,1720,8,4.3,307.89337110656027
70,2026-02-21 17:26:19.600696,South,Sports,2821,4,4.6,297.5572507722942
71,2026-02-21 17:25:19.600698,South,Sports,1355,7,4.0,303.98965957778796
72,2026-02-21 17:24:19.600701,South,Electronics,1517,9,3.3,384.32477047969627
73,2026-02-21 17:23:19.600703,North,Home,2720,9,3.4,701.8567466486809
74,2026-02-21 17:22:19.600706,South,Sports,4004,4,2.3,900.6086207877287
75,2026-02-21 17:21:19.600708,North,Sports,695,7,1.7,116.9375377002847
76,2026-02-21 17:20:19.600711,South,Sports,1832,6,1.5,191.4841825317672
77,2026-02-21 17:19:19.600713,West,Clothing,2017,3,1.7,563.0574693635258
78,2026-02-21 17:18:19.600717,West,Electronics,3197,6,4.7,594.032152030513
79,2026-02-21 17:17:19.600720,East,Electronics,4954,8,1.7,1091.044634536367
80,2026-02-21 17:16:19.600723,West,Electronics,3607,2,3.9,501.0527526355893
81,2026-02-21 17:15:19.600725,East,Electronics,1557,3,1.7,199.90501056212284
82,2026-02-21 17:14:19.600727,West,Electronics,3205,8,4.9,376.1501539098755
83,2026-02-21 17:13:19.600730,North,Clothing,2563,4,2.5,665.7470441949459
84,2026-02-21 17:12:19.600732,West,Home,3292,4,2.6,754.8297336185977
85,2026-02-21 17:11:19.600735,East,Clothing,920,2,2.6,206.29330364664983
86,2026-02-21 17:10:19.600737,East,Sports,3314,1,4.3,940.7768271671514
87,2026-02-21 17:09:19.600740,South,Clothing,3340,7,1.9,440.01977579863876
88,2026-02-21 17:08:19.600742,North,Electronics,1531,4,4.3,205.2364755247138
89,2026-02-21 17:07:19.600745,West,Clothing,1991,6,3.6,274.54661534457426
90,2026-02-21 17:06:19.600747,South,Electronics,2385,8,1.9,440.4472182365431
91,2026-02-21 17:05:19.600750,West,Clothing,1009,7,1.3,277.3179461254086
92,2026-02-21 17:04:19.600752,West,Electronics,2359,7,4.1,651.779492675222
93,2026-02-21 17:03:19.600755,South,Sports,2358,6,1.9,514.3211765508054
94,2026-02-21 17:02:19.600758,South,Electronics,1413,4,4.6,327.2911829362124
95,2026-02-21 17:01:19.600761,South,Clothing,2565,4,1.5,717.052082274399
96,2026-02-21 17:00:19.600763,South,Sports,3466,9,3.5,779.308579927435
97,2026-02-21 16:59:19.600766,South,Clothing,4337,5,3.8,633.0282405543581
98,2026-02-21 16:58:19.600768,West,Sports,2096,9,3.6,505.0999774445814
99,2026-02-21 16:57:19.600771,South,Home,4942,9,2.3,1255.1600411341774
100,2026-02-21 16:56:19.600773,North,Home,1555,4,4.5,353.0921778198113
101,2026-02-21 16:55:19.600776,East,Home,1523,2,4.1,235.62925856453185
102,2026-02-21 16:54:19.600779,South,Clothing,3704,2,3.0,666.6591429788945
103,2026-02-21 16:53:19.600781,South,Clothing,1075,9,3.4,208.67736764404924
104,2026-02-21 16:52:19.600783,West,Sports,698,9,3.3,90.08365917435145
105,2026-02-21 16:51:19.600786,South,Sports,1865,3,4.8,355.17927391357443
106,2026-02-21 16:50:19.600788,South,Sports,2498,5,4.6,330.3342326952688
107,2026-02-21 16:49:19.600791,South,Sports,1516,5,1.9,303.0337688028898
108,2026-02-21 16:48:19.600799,West,Electronics,4118,2,2.1,453.6477407440747
109,2026-02-21 16:47:19.600802,South,Home,525,2,4.9,152.09580665592628
110,2026-02-21 16:46:19.600806,East,Electronics,2058,1,1.9,307.1955461334731
111,2026-02-21 16:45:19.600809,West,Electronics,4224,2,4.8,816.933688967708
112,2026-02-21 16:44:19.600811,East,Electronics,3958,7,3.6,421.7266229430146
113,2026-02-21 16:43:19.600814,West,Electronics,3856,1,1.2,534.2268379204073
114,2026-02-21 16:42:19.600816,South,Home,2867,1,2.3,684.2066783173732
115,2026-02-21 16:41:19.600818,East,Electronics,970,9,2.9,118.68931700894542
116,2026-02-21 16:40:19.600821,West,Sports,2967,2,4.3,669.4437121161036
117,2026-02-21 16:39:19.600823,North,Clothing,1385,4,2.3,139.07308292731219
118,2026-02-21 16:38:19.600826,South,Sports,1375,3,2.2,265.37756459380745
119,2026-02-21 16:37:19.600828,West,Clothing,1441,4,4.7,351.9912372564515
120,2026-02-21 16:36:19.600831,North,Sports,3541,7,1.3,1010.1006055155044
121,2026-02-21 16:35:19.600834,West,Sports,1071,2,3.2,212.66550891899502
122,2026-02-21 16:34:19.600836,North,Clothing,4649,2,3.0,1246.4270903629752
123,2026-02-21 16:33:19.600839,South,Home,1104,9,1.2,287.6121711225418
124,2026-02-21 16:32:19.600841,East,Electronics,4920,6,1.4,783.0384446344298
125,2026-02-21 16:31:19.600844,North,Sports,4029,7,2.5,1107.7603541480307
126,2026-02-21 16:30:19.600846,West,Home,4860,5,1.5,1108.355056374597
127,2026-02-21 16:29:19.600849,South,Electronics,881,5,2.9,106.45733499281658
128,2026-02-21 16:28:19.600851,North,Home,1736,4,3.4,499.6599629780897
129,2026-02-21 16:27:19.600854,West,Home,2880,8,3.8,389.7658031235018
130,2026-02-21 16:26:19.600857,West,Electronics,4279,7,3.2,830.4348986961681
131,2026-02-21 16:25:19.600859,West,Sports,2605,2,2.5,503.47636586899694
132,2026-02-21 16:24:19.600862,North,Home,2017,2,1.5,453.9204537750405
133,2026-02-21 16:23:19.600864,North,Sports,2033,6,2.0,473.67142092486887
134,2026-02-21 16:22:19.600867,North,Sports,3794,1,2.7,556.1304611298735
135,2026-02-21 16:21:19.600869,East,Sports,3940,7,4.7,671.7246809518962
136,2026-02-21 16:20:19.600872,North,Electronics,3989,8,1.8,514.2540652544143
137,2026-02-21 16:19:19.600874,North,Clothing,4445,8,2.7,556.5279875700546
138,2026-02-21 16:18:19.600877,North,Sports,1370,3,3.9,363.0684553367891
139,2026-02-21 16:17:19.600879,East,Clothing,2650,7,3.8,662.8823103733548
140,2026-02-21 16:16:19.600882,North,Clothing,3732,1,4.9,703.6189544197692
141,2026-02-21 16:15:19.600884,West,Home,3731,3,1.8,444.66750760359236
142,2026-02-21 16:14:19.600887,North,Sports,4266,6,1.1,810.4732314432439
143,2026-02-21 16:13:19.600889,West,Sports,3707,9,2.3,589.0094513423961
